# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Direct,06,629,526,148,75.12131147540984,0.8901639344262295,12236,9,0.014754098360655738
Organic Search,19,627,267,201,115.3152,1.4832,29062,22,0.0288
Direct,01,624,529,147,62.9983305509182,0.8948247078464107,10593,7,0.011686143572621035
Paid Social,03,622,484,93,21.85198555956679,0.8267148014440433,6067,2,0.0036101083032490976
Organic Social,31,620,550,76,22.86863711001642,0.6403940886699507,5805,5,0.006568144499178982
Organic Search,20,612,283,173,70.02618657937806,1.3109656301145662,19380,18,0.027823240589198037
Direct,48,606,434,181,95.1,1.2833333333333334,24335,38,0.056666666666666664
Email,15,604,249,214,96.96321070234114,1.3963210702341138,20510,44,0.07023411371237458
Organic Social,19,594,377,91,31.708404802744425,0.8370497427101201,10633,5,0.008576329331046312
Direct,09,592,481,133,60.93881118881119,0.8811188811188811,8954,12,0.02097902097902098
Direct,34,591,434,162,63.56729131175469,1.3407155025553663,14806,36,0.044293015332197615
Cross-network,32,589,553,64,42.439728353140914,1.069609507640068,7834,13,0.022071307300509338
Direct,20,578,184,152,60.30890052356021,1.169284467713787,14798,21,0.03664921465968586
Organic Search,12,575,308,136,69.9632867132867,1.2447552447552448,14860,5,0.008741258741258742
Direct,32,566,387,170,77.84132841328413,1.2306273062730628,12783,29,0.04981549815498155
Organic Search,15,566,251,175,146.52941176470588,1.483065953654189,32310,23,0.03208556149732621
Organic Social,13,566,410,30,8.8,0.6576576576576577,4582,3,0.005405405405405406
Cross-network,27,565,314,124,25.942754919499105,1.144901610017889,6854,3,0.005366726296958855
Paid Social,23,565,1,218,22.524074074074075,1.2777777777777777,10068,1,0.001851851851851852
Direct,28,559,202,122,38.388086642599276,1.1859205776173285,9808,4,0.007220216606498195
Email,43,554,529,52,27.907942238267147,1.0054151624548737,7777,2,0.0036101083032490976
Organic Search,28,548,270,104,48.0018281535649,1.129798903107861,11189,4,0.007312614259597806
Email,51,541,453,105,32.46210720887246,1.0295748613678373,8198,4,0.0073937153419593345
Organic Search,16,539,236,179,90.85794392523364,1.4317757009345795,18557,28,0.03925233644859813
Paid Social,13,537,232,100,13.136276391554702,1,5463,1,0.0019193857965451055
Cross-network,03,532,503,77,50.13825757575758,1.018939393939394,8590,5,0.00946969696969697
Direct,33,532,339,197,73.86121673003802,1.241444866920152,14270,29,0.045627376425855515
Cross-network,05,530,479,84,48.67432950191571,0.9885057471264368,7431,2,0.0038314176245210726
Cross-network,34,529,489,62,32.7381404174573,1.1707779886148009,8512,8,0.011385199240986717
Organic Social,07,523,501,20,8.11284046692607,0.5038910505836576,3119,3,0.0038910505836575876
Organic Search,25,517,197,155,69.84689922480621,1.3352713178294573,16629,18,0.029069767441860465
Organic Search,06,514,455,149,119.0140562248996,1.2208835341365463,14548,12,0.02208835341365462
Organic Search,11,513,251,126,76.66470588235295,1.2588235294117647,13270,3,0.0058823529411764705
Organic Social,22,507,314,36,14.28,0.832,5503,0,0
Cross-network,52,506,447,91,53.8794466403162,1.2391304347826086,11675,16,0.03162055335968379
Paid Shopping,42,505,502,24,17.19009900990099,1.0415841584158416,5978,3,0.005940594059405941
Referral,07,497,496,1,0.5875251509054326,0.014084507042253521,2056,1,0.002012072434607646
Email,46,489,309,201,90.36755646817248,1.4106776180698153,18945,16,0.03285420944558522
Email,13,488,240,137,65.94866529774127,1.162217659137577,11114,15,0.030800821355236138
Direct,49,484,345,148,80.36764705882354,1.2394957983193278,17520,26,0.0546218487394958
Cross-network,13,481,208,130,37.08958333333333,1.1083333333333334,7225,5,0.010416666666666666
Organic Search,22,473,209,132,60.90233545647558,1.435244161358811,13521,9,0.016985138004246284
Organic Social,30,473,412,71,36.53518123667377,0.7654584221748401,5856,6,0.010660980810234541
Direct,52,472,338,146,69.12393162393163,1.2927350427350428,15795,18,0.03632478632478633
Paid Social,25,469,1,213,39.46137339055794,1.2639484978540771,12096,3,0.006437768240343348
Email,22,465,162,202,49.63577586206897,1.2823275862068966,11237,13,0.028017241379310345
Direct,42,462,325,144,56.88864628820961,1.203056768558952,11582,11,0.021834061135371178
Email,20,460,139,195,56.20697167755991,1.2461873638344227,11898,8,0.017429193899782137
Organic Search,36,460,389,98,92.28227571115974,1.2713347921225382,15194,30,0.0437636761487965
Direct,50,453,312,125,55.64932126696833,1.2036199095022624,12613,10,0.020361990950226245
Email,50,453,344,112,47.26548672566372,0.9070796460176991,8178,4,0.008849557522123894
Email,02,445,351,167,132.8068181818182,1.2159090909090908,12894,17,0.038636363636363635
Direct,07,443,356,124,80.18544600938966,1.0093896713615023,8697,5,0.011737089201877934
Organic Search,21,443,183,142,58.626696832579185,1.4773755656108598,11064,10,0.02262443438914027
Paid Social,12,442,234,57,21.637002341920375,0.9086651053864169,4593,1,0.00234192037470726
Paid Social,26,440,2,228,29.438356164383563,1.461187214611872,9036,1,0.00228310502283105
Direct,41,435,312,132,59.26995305164319,1.2816901408450705,11622,11,0.01643192488262911
Organic Search,10,434,244,120,88.86182669789227,1.2576112412177987,11716,3,0.00702576112412178
Organic Search,27,428,182,109,49.55503512880562,1.2224824355971897,9321,6,0.01405152224824356
Organic Social,28,418,310,29,11.805896805896806,0.7936117936117936,3505,4,0.009828009828009828
Direct,38,416,239,171,55.4126213592233,1.4223300970873787,10561,15,0.02912621359223301
Direct,47,416,294,133,100.01466992665037,1.3300733496332517,18462,25,0.061124694376528114
Organic Social,21,416,315,31,9.16826923076923,1.1129807692307692,3079,0,0
Organic Search,47,415,344,108,105.19806763285024,1.3140096618357489,17643,17,0.03864734299516908
Direct,39,414,241,182,86.16747572815534,1.3398058252427185,14462,30,0.043689320388349516
Organic Search,26,409,165,130,50.95085995085995,1.3734643734643734,9978,7,0.0171990171990172
Organic Search,46,409,336,104,90.16625310173697,1.1389578163771712,14094,16,0.03970223325062035
Paid Search,12,409,179,100,83.35960591133005,1.2980295566502462,12543,9,0.019704433497536946
Organic Search,07,406,333,126,105.7974358974359,1.1948717948717948,10358,7,0.017948717948717947
Email,49,403,240,174,114.60598503740648,1.3167082294264338,18085,12,0.029925187032418952
Organic Social,06,403,365,24,11.906735751295336,0.45077720207253885,2965,1,0.0025906735751295338
Email,47,402,260,172,147.035,1.505,22982,19,0.0475
Organic Search,23,401,170,130,52.0725,1.345,10422,12,0.0275
Email,33,399,319,108,79.78680203045685,1.1725888324873097,10410,14,0.03299492385786802
Organic Search,08,395,335,113,113.38743455497382,1.0968586387434556,9718,7,0.015706806282722512
Paid Search,16,395,168,87,133.83969465648855,1.2391857506361323,16975,14,0.035623409669211195
Organic Search,03,394,328,121,104.42670157068063,1.130890052356021,10115,7,0.01832460732984293
Organic Search,02,393,350,115,115.47532467532467,1.1272727272727272,10696,13,0.033766233766233764
Organic Search,38,393,343,77,78.59079283887468,1.2173913043478262,12435,23,0.03836317135549872
Direct,43,392,291,104,49.4921875,1.1380208333333333,8712,5,0.013020833333333334
Email,04,387,241,191,122.13123359580052,1.2782152230971129,10283,12,0.031496062992125984
