Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Greyson Coated Malachite Python - Malachite Python / 34,Coated,Greyson,Malachite Python,34
Greyson Coated Noir - Coated Noir / 29,Coated,Greyson,Noir,29
Greyson Coated Malachite Python - Malachite Python / 30,Coated,Greyson,Malachite Python,30
Greyson Coated Malachite - Coated Malachite / 33,Coated,Greyson,Malachite,33
Greyson Coated Malachite Python - 31,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Noir - 38 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Noir - 29 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Malachite - 32,Coated,Greyson,Malachite,Unknown
Greyson Coated Malachite - 31,Coated,Greyson,Malachite,Unknown
Greyson Coated Malachite Python - 28,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Noir - 38,Coated,Greyson,Noir,Unknown
Greyson Coated Malachite Python - Malachite Python / 32,Coated,Greyson,Malachite Python,32
Greyson Coated Noir - 33 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Red Leopard - Coated Red Leopard / 40,Coated,Greyson,Red Leopard,40
Greyson Coated London - 32,Coated,Greyson,London,Unknown
Greyson Coated Malachite - 33,Coated,Greyson,Malachite,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 30,Coated,Greyson,Red Leopard,30
Greyson Coated Bourdeaux - 33,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Noir - 34,Coated,Greyson,Noir,Unknown
Greyson Coated Malachite - 40,Coated,Greyson,Malachite,Unknown
Greyson Coated Noir - 32,Coated,Greyson,Noir,Unknown
Greyson Coated London - 38,Coated,Greyson,London,Unknown
Greyson Coated Bourdeaux - 29,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 29,Coated,Greyson,Red Leopard,29
Greyson Coated Bourdeaux - 36,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 38,Coated,Greyson,Red Leopard,38
Greyson Coated Noir - 31,Coated,Greyson,Noir,Unknown
Greyson Coated Malachite - 36,Coated,Greyson,Malachite,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 34,Coated,Greyson,Red Leopard,34
Greyson Coated Noir,Coated,Greyson,Noir,Unknown
Greyson Coated Malachite - Coated Malachite / 28,Coated,Greyson,Malachite,28
Greyson Coated Bourdeaux - 40,Coated,Greyson,Bourdeaux,Unknown
