# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Cross-network,13,589,556,0.9439728353140917,36.56706281833616,11.093378607809846,6534,4,0.006791171477079796,568.43
Organic Social,41,584,300,0.5136986301369864,12.888698630136986,8.280821917808218,4836,10,0.017123287671232876,2516.86
Direct,37,580,226,0.3896551724137931,20.79310344827586,7.4206896551724135,4304,19,0.032758620689655175,3552.63
Direct,45,580,185,0.31896551724137934,20.908620689655173,8.23793103448276,4778,14,0.017241379310344827,4321.13
Direct,48,578,310,0.5363321799307958,41.397923875432525,13.762975778546712,7955,38,0.04152249134948097,5797.55
Email,22,572,538,0.9405594405594405,54.94405594405595,13.75,7865,40,0.06993006993006994,10623.950611
Cross-network,12,570,547,0.9596491228070175,39.43157894736842,16.568421052631578,9444,11,0.01929824561403509,3566.81
Organic Social,46,565,273,0.4831858407079646,12.226548672566372,8.366371681415929,4727,6,0.007079646017699115,2522.44
Direct,20,561,522,0.93048128342246,41.34402852049911,11.188948306595366,6277,22,0.0392156862745098,4246.28
Email,17,559,527,0.9427549194991055,65.34883720930233,15.228980322003578,8513,48,0.08586762075134168,7213.317307
Direct,02,555,519,0.9351351351351351,46.3027027027027,22.01801801801802,12220,16,0.02882882882882883,2839.78
Direct,13,554,510,0.9205776173285198,37.94043321299639,11.907942238267148,6597,21,0.03790613718411552,4290.99
Direct,18,549,502,0.9143897996357013,41.349726775956285,12.568306010928962,6900,21,0.03825136612021858,4134.55
Email,36,549,377,0.6867030965391621,65.30054644808743,14.318761384335154,7861,15,0.0273224043715847,4758.92242
Paid Social,45,548,255,0.4653284671532847,20.37773722627737,8.52919708029197,4674,4,0.0036496350364963502,699.02
Direct,34,537,483,0.8994413407821229,38.02420856610801,9.292364990689013,4990,19,0.035381750465549346,3274.08
Cross-network,24,533,512,0.9606003752345216,44.39587242026266,11.352720450281426,6051,18,0.03377110694183865,4233.53
Cross-network,25,531,508,0.9566854990583804,43.16760828625235,11.681732580037664,6203,17,0.032015065913371,3655.49
Direct,31,527,497,0.9430740037950665,21.683111954459203,8.074003795066414,4255,5,0.009487666034155597,1141.19
Organic Search,34,526,493,0.9372623574144486,66.56273764258555,15.074144486692015,7929,14,0.026615969581749048,3200.69
Cross-network,01,523,505,0.9655831739961759,40.881453154875715,17.938814531548758,9382,12,0.022944550669216062,1640.54
Direct,17,518,467,0.9015444015444015,40.08880308880309,11.438223938223938,5925,20,0.03861003861003861,4462.41
Direct,23,513,464,0.9044834307992202,43.265107212475634,10.847953216374268,5565,30,0.05847953216374269,8985.368244
Email,25,511,435,0.8512720156555773,54.61643835616438,12.75146771037182,6516,20,0.03913894324853229,3753.66
Direct,43,510,288,0.5647058823529412,38.08039215686274,9.850980392156863,5024,25,0.049019607843137254,3712.79
Direct,24,509,452,0.888015717092338,32.31237721021611,8.55795677799607,4356,29,0.05697445972495088,5242.47
Direct,49,508,450,0.8858267716535433,38.83464566929134,15.131889763779528,7687,1346,0.781496062992126,4463.95
Direct,47,501,282,0.562874251497006,43.808383233532936,12.043912175648703,6034,22,0.02594810379241517,5861.88
Email,47,500,372,0.744,107.888,24.744,12372,45,0.05,9349.6
Direct,26,494,452,0.9149797570850202,41.58097165991903,10.587044534412955,5230,29,0.05668016194331984,7118.4
Direct,32,491,468,0.9531568228105907,22.327902240325866,8.668024439918534,4256,15,0.03054989816700611,3217.89
Cross-network,19,487,460,0.944558521560575,50.64476386036961,13.049281314168377,6355,23,0.04722792607802875,3475.45
Direct,44,487,245,0.5030800821355236,34.79876796714579,11.845995893223819,5769,18,0.03696098562628337,5168.85
Organic Social,42,487,261,0.5359342915811088,10.706365503080082,7.505133470225872,3655,2,0.002053388090349076,264.76
Referral,11,483,440,0.9109730848861284,9.648033126293996,8.167701863354038,3945,1,0.002070393374741201,259.98
Cross-network,16,482,444,0.921161825726141,39.00622406639004,11.854771784232366,5714,11,0.022821576763485476,2807.08
Direct,08,482,444,0.921161825726141,43.04979253112033,14.95850622406639,7210,23,0.03941908713692946,3750.06
Cross-network,18,481,451,0.9376299376299376,47.2972972972973,13.66943866943867,6575,20,0.037422037422037424,3599.49
Cross-network,20,481,447,0.9293139293139293,42.06860706860707,12.253638253638254,5894,19,0.035343035343035345,3127.35
Direct,27,477,447,0.9371069182389937,34.79035639412998,9.169811320754716,4374,20,0.041928721174004195,3118.75
Referral,12,477,440,0.9224318658280922,6.473794549266247,7.670859538784067,3659,2,0.0041928721174004195,1127.23
Email,37,470,284,0.6042553191489362,54.693617021276594,12.15531914893617,5713,11,0.023404255319148935,1972.063299
Cross-network,22,468,447,0.9551282051282052,45.25,11.476495726495726,5371,12,0.02564102564102564,2606.29
Email,49,468,433,0.9252136752136753,100.58974358974359,30.974358974358974,14496,2689,0.8376068376068376,7749.99
Email,05,466,452,0.9699570815450643,48.23390557939914,18.100858369098713,8435,14,0.030042918454935622,4763.71
Cross-network,26,462,444,0.961038961038961,45.24242424242424,12.028138528138529,5557,23,0.049783549783549784,5469.38
Direct,07,461,434,0.9414316702819957,61.344902386117134,19.670281995661604,9068,9,0.019522776572668113,1560.29
Paid Social,46,460,182,0.39565217391304347,12.273913043478261,7.941304347826087,3653,2,0.002173913043478261,506.6
Cross-network,05,459,440,0.9586056644880174,36.932461873638346,17.610021786492375,8083,6,0.013071895424836602,516.94
Cross-network,11,458,436,0.9519650655021834,39.748908296943235,15.537117903930131,7116,2,0.004366812227074236,479.96
Cross-network,17,455,433,0.9516483516483516,45.86153846153846,12.421978021978022,5652,7,0.015384615384615385,3192.81
Direct,30,453,413,0.9116997792494481,51.66225165562914,11.514348785871965,5216,12,0.026490066225165563,4681.94
Email,11,453,426,0.9403973509933775,51.39514348785872,18.1523178807947,8223,15,0.033112582781456956,2121.11
Cross-network,15,449,415,0.9242761692650334,37.97327394209354,12.307349665924276,5526,11,0.024498886414253896,2531.17
Email,15,449,333,0.7416481069042317,30.797327394209354,8.420935412026726,3781,13,0.028953229398663696,2611.81
Direct,33,443,420,0.9480812641083521,29.03160270880361,9.604966139954854,4255,13,0.029345372460496615,2401.32
Direct,38,441,194,0.4399092970521542,30.75283446712018,8.938775510204081,3942,15,0.034013605442176874,3984.26
Cross-network,23,440,419,0.9522727272727273,46.63409090909091,11.177272727272728,4918,10,0.022727272727272728,3191.9
