"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2023-02-05,2026-03-05,"Instagram post: The Monfrere SS23 collection is...",archived,30,actions:link_click,0.5,"Using campaign budget",0,15,1771,1497,1.183033,8.469791,,2023-02-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: The Monfrere SS23 collection is..."
2023-02-05,2026-03-05,"Instagram post: The perfect fit, the perfect...",archived,,,,"Using campaign budget",0,15,1787,1591,1.123193,8.393956,,2023-02-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: The perfect fit, the perfect..."
2023-02-05,2026-03-05,"Instagram post: Let us know what you think about...",archived,,,,"Using campaign budget",0,25,3410,2768,1.231936,7.331378,,2023-02-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Let us know what you think about..."
2023-02-05,2026-03-05,"Conv - Static - Dean Zebra 2/23",archived,,,,70,Daily,318.86,12810,7026,1.823228,24.891491,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Dean Zebra 2/23",archived,1,actions:offsite_conversion.fb_pixel_purchase,399.53,70,Daily,399.53,20504,12321,1.664151,19.485466,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,1.18289,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Dean Zebra 2/23",archived,,,,80,Daily,168.21,6941,3702,1.874932,24.23426,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Instagram post: Be daring. Be different. Be bold....",archived,,,,"Using campaign budget",0,20,1815,1505,1.20598,11.019284,,2023-02-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Be daring. Be different. Be bold...."
2023-02-05,2026-03-05,"Conv - Carousel - Dynamic Rem. 6/22",archived,7,actions:offsite_conversion.fb_pixel_purchase,126.18,"Using campaign budget",0,883.26,16505,468,35.267094,53.514693,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Upsell 14days - MF edited",,1.654598,"C12 - Dynamic Remarketing"
2023-02-05,2026-03-05,"Instagram post: Effortlessly balance...",archived,,,,"Using campaign budget",0,20,2947,2598,1.134334,6.786563,,2023-03-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Effortlessly balance..."
2023-02-05,2026-03-05,"Con - Carousel - MVLA 3/23",archived,3,actions:offsite_conversion.fb_pixel_purchase,177.51666667,"Using campaign budget",0,532.55,21472,11233,1.911511,24.802068,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Remarketing Stacked",,1.678716,"C12 - MFVLA Collab 3/23"
2023-02-05,2026-03-05,"Con - Carousel - MVLA 3/23",archived,,,,"Using campaign budget",0,194.01,12045,7763,1.551591,16.107098,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold- Braod",,,"C12 - MFVLA Collab 3/23"
2023-02-05,2026-03-05,"Instagram post: The Monfrere x MVLA Capsule...",archived,,,,"Using campaign budget",0,0.1,20,20,1,5,,2023-03-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: The Monfrere x MVLA Capsule..."
2023-02-05,2026-03-05,"Instagram post: The Monfrere x MVLA Capsule...",archived,,,,"Using campaign budget",0,25,3771,2912,1.294986,6.629541,,2023-03-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: The Monfrere x MVLA Capsule..."
2023-02-05,2026-03-05,"Instagram post: Denim with a twist. Add some edge...",archived,,,,"Using campaign budget",0,4.45,673,653,1.030628,6.612184,,2023-03-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Denim with a twist. Add some edge..."
2023-02-05,2026-03-05,"Instagram post: Denim Reimagined. The exclusive...",archived,,,,"Using campaign budget",0,19.98,1751,1339,1.307692,11.410623,,2023-03-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Denim Reimagined. The exclusive..."
2023-02-05,2026-03-05,"BF- 360 Retargeting SS Carousel",archived,,,,"Using campaign budget",0,94.88,1669,1243,1.342719,56.848412,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Carousel - Feeds",,,"BOTTOM FUNNEL - 360 Retargeting"
2023-02-05,2026-03-05,"Instagram post: #LilDurk performing in our...",archived,,,,"Using campaign budget",0,15,3553,3081,1.153197,4.221784,,2023-03-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: #LilDurk performing in our..."
2023-02-05,2026-03-05,"Instagram post: Sophistication meets comfort in...",archived,,,,"Using campaign budget",0,15,2099,1746,1.202176,7.14626,,2023-03-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Sophistication meets comfort in..."
2023-02-05,2026-03-05,"BF - Catalog - View / Add to Cart",archived,1,actions:offsite_conversion.fb_pixel_purchase,66.64,"Using campaign budget",0,66.64,1180,515,2.291262,56.474576,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Catalog - Add to Cart",,1.320528,"BOTTOM FUNNEL - Catalog Sales"
2023-02-05,2026-03-05,"BF - Catalog - View / Add to Cart",archived,2,actions:offsite_conversion.fb_pixel_purchase,81.28,"Using campaign budget",0,162.56,10177,7297,1.394683,15.973273,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Catalog - Add to Cart",,2.017717,"BOTTOM FUNNEL - Catalog"
2023-02-05,2026-03-05,"BF - Upsell Catalog",archived,1,actions:offsite_conversion.fb_pixel_purchase,38.97,"Using campaign budget",0,38.97,804,379,2.121372,48.470149,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Catalog - Upsell",,3.977419,"BOTTOM FUNNEL - Catalog"
2023-02-05,2026-03-05,"BF- 360 Retargeting SS Carousel 02",archived,,,,"Using campaign budget",0,12.43,254,228,1.114035,48.937008,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Carousel - Feeds 02",,,"BOTTOM FUNNEL - 360 Retargeting"
