Day,"Campaign name","Ad set name","Ad name","Page name",Ads,Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,11,11,1,"7-day click or 1-day view","Post engagements",1,0.11,0.11,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,119,121,1.01680672,"7-day click or 1-day view","Post engagements",18,1.37,0.07611111,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,16,16,1,"7-day click or 1-day view","Post engagements",1,0.17,0.17,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,167,171,1.0239521,"7-day click or 1-day view","Post engagements",29,1.85,0.0637931,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,165,165,1,"7-day click or 1-day view","Post engagements",33,1.93,0.05848485,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,382,392,1.02617801,"7-day click or 1-day view","Post engagements",69,3.73,0.05405797,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,20,20,1,"7-day click or 1-day view","Post engagements",5,0.21,0.042,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,24,25,1.04166667,"7-day click or 1-day view","Post engagements",2,0.16,0.08,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-27,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,35-44,archived,ad,1,1,1,"7-day click or 1-day view",,,0.01,,2023-03-20,Ongoing,2024-12-27,2024-12-27
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,104,105,1.00961538,"7-day click or 1-day view","Post engagements",15,1.22,0.08133333,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,35-44,archived,ad,6,6,1,"7-day click or 1-day view","Post engagements",4,0.05,0.0125,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,15,15,1,"7-day click or 1-day view","Post engagements",1,0.13,0.13,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,372,382,1.02688172,"7-day click or 1-day view","Post engagements",78,4.21,0.05397436,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,52,53,1.01923077,"7-day click or 1-day view","Post engagements",15,0.53,0.03533333,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,133,138,1.03759398,"7-day click or 1-day view","Post engagements",19,1.58,0.08315789,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,62,64,1.03225806,"7-day click or 1-day view","Post engagements",17,0.88,0.05176471,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,93,94,1.01075269,"7-day click or 1-day view","Post engagements",24,0.92,0.03833333,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-26,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,2,2,1,"7-day click or 1-day view",,,0.02,,2023-03-20,Ongoing,2024-12-26,2024-12-26
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,330,338,1.02424242,"7-day click or 1-day view","Post engagements",70,3.78,0.054,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,15,16,1.06666667,"7-day click or 1-day view","Post engagements",3,0.18,0.06,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,51,54,1.05882353,"7-day click or 1-day view","Post engagements",10,0.55,0.055,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,109,113,1.03669725,"7-day click or 1-day view","Post engagements",17,1.27,0.07470588,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,55,56,1.01818182,"7-day click or 1-day view","Post engagements",14,0.78,0.05571429,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,86,88,1.02325581,"7-day click or 1-day view","Post engagements",19,1.24,0.06526316,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,91,92,1.01098901,"7-day click or 1-day view","Post engagements",16,0.98,0.06125,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,35-44,archived,ad,7,7,1,"7-day click or 1-day view","Post engagements",1,0.08,0.08,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-25,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,8,8,1,"7-day click or 1-day view","Post engagements",1,0.12,0.12,2023-03-20,Ongoing,2024-12-25,2024-12-25
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,101,107,1.05940594,"7-day click or 1-day view","Post engagements",12,0.91,0.07583333,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,35-44,archived,ad,10,10,1,"7-day click or 1-day view","Post engagements",3,0.11,0.03666667,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,22,22,1,"7-day click or 1-day view","Post engagements",8,0.33,0.04125,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,118,124,1.05084746,"7-day click or 1-day view","Post engagements",11,1.25,0.11363636,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,86,87,1.01162791,"7-day click or 1-day view","Post engagements",18,1,0.05555556,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,50,50,1,"7-day click or 1-day view","Post engagements",11,0.57,0.05181818,2023-03-20,Ongoing,2024-12-24,2024-12-24
